xy,danger,danger_rank,center,위도,경도
"['129.195074612563', '35.73035536220703', '129.1949959391943', '35.728553921420215']",6.01,3,"[35.72945464181362, 129.19503527587864]",35.72945464181362,129.19503527587864
"['129.19314894921627', '35.7196835076536', '129.1928295342431', '35.71830556422037']",8.91,4,"[35.718994535936986, 129.19298924172966]",35.718994535936986,129.19298924172966
"['128.35938054688717', '36.11950525502186', '128.35969454443625', '36.11772032337752']",22.1,4,"[36.11861278919969, 128.3595375456617]",36.11861278919969,128.3595375456617
"['128.35938054688717', '36.11950525502186', '128.35969454443625', '36.11772032337752']",22.1,4,"[36.11861278919969, 128.3595375456617]",36.11861278919969,128.3595375456617
"['128.35938054688717', '36.11950525502186', '128.35969454443625', '36.11772032337752']",22.1,4,"[36.11861278919969, 128.3595375456617]",36.11861278919969,128.3595375456617
"['128.35938054688717', '36.11950525502186', '128.35969454443625', '36.11772032337752']",22.1,4,"[36.11861278919969, 128.3595375456617]",36.11861278919969,128.3595375456617
"['128.36146260236706', '36.09470179331969', '128.3613149936289', '36.09312681021562']",13.33,4,"[36.093914301767654, 128.36138879799796]",36.093914301767654,128.36138879799796
"['128.3612223793053', '36.092138580773764', '128.36119809954454', '36.09168800475221']",24.87,4,"[36.09191329276298, 128.3612102394249]",36.09191329276298,128.3612102394249
"['128.36119809954454', '36.09168800475221', '128.36103128765956', '36.08989006646119']",28.09,4,"[36.0907890356067, 128.36111469360205]",36.0907890356067,128.36111469360205
"['128.36166686623304', '36.09703128447745', '128.3616311048971', '36.09649962682201']",40.39,4,"[36.09676545564973, 128.36164898556507]",36.09676545564973,128.36164898556507
"['128.36146260236706', '36.09470179331969', '128.3613149936289', '36.09312681021562']",13.33,4,"[36.093914301767654, 128.36138879799796]",36.093914301767654,128.36138879799796
"['128.3612223793053', '36.092138580773764', '128.36119809954454', '36.09168800475221']",24.87,4,"[36.09191329276298, 128.3612102394249]",36.09191329276298,128.3612102394249
"['128.36119809954454', '36.09168800475221', '128.36103128765956', '36.08989006646119']",28.09,4,"[36.0907890356067, 128.36111469360205]",36.0907890356067,128.36111469360205
"['128.36166686623304', '36.09703128447745', '128.3616311048971', '36.09649962682201']",40.39,4,"[36.09676545564973, 128.36164898556507]",36.09676545564973,128.36164898556507
"['128.36146260236706', '36.09470179331969', '128.3613149936289', '36.09312681021562']",13.33,4,"[36.093914301767654, 128.36138879799796]",36.093914301767654,128.36138879799796
"['128.3612223793053', '36.092138580773764', '128.36119809954454', '36.09168800475221']",24.87,4,"[36.09191329276298, 128.3612102394249]",36.09191329276298,128.3612102394249
"['128.36119809954454', '36.09168800475221', '128.36103128765956', '36.08989006646119']",28.09,4,"[36.0907890356067, 128.36111469360205]",36.0907890356067,128.36111469360205
"['128.36166686623304', '36.09703128447745', '128.3616311048971', '36.09649962682201']",40.39,4,"[36.09676545564973, 128.36164898556507]",36.09676545564973,128.36164898556507
"['128.36146260236706', '36.09470179331969', '128.3613149936289', '36.09312681021562']",13.33,4,"[36.093914301767654, 128.36138879799796]",36.093914301767654,128.36138879799796
"['128.3612223793053', '36.092138580773764', '128.36119809954454', '36.09168800475221']",24.87,4,"[36.09191329276298, 128.3612102394249]",36.09191329276298,128.3612102394249
"['128.36119809954454', '36.09168800475221', '128.36103128765956', '36.08989006646119']",28.09,4,"[36.0907890356067, 128.36111469360205]",36.0907890356067,128.36111469360205
"['128.36166686623304', '36.09703128447745', '128.3616311048971', '36.09649962682201']",40.39,4,"[36.09676545564973, 128.36164898556507]",36.09676545564973,128.36164898556507
"['128.3259495810601', '36.13494687219511', '128.32424762632292', '36.13524336637723']",7.45,3,"[36.13509511928617, 128.32509860369152]",36.13509511928617,128.32509860369152
"['128.3593285005449', '36.114109854884994', '128.35880377403325', '36.11586188768202']",25.0,4,"[36.11498587128351, 128.35906613728906]",36.11498587128351,128.35906613728906
"['128.32424762632292', '36.13524336637723', '128.32367031020527', '36.135353089676414']",33.47,4,"[36.13529822802683, 128.3239589682641]",36.13529822802683,128.3239589682641
"['128.35777026303165', '36.119305049637184', '128.3575476852656', '36.11991518488525']",41.28,4,"[36.11961011726122, 128.35765897414862]",36.11961011726122,128.35765897414862
"['128.35798328411445', '36.118595390366394', '128.35777026303165', '36.119305049637184']",61.71,4,"[36.11895022000179, 128.35787677357305]",36.11895022000179,128.35787677357305
"['128.3259495810601', '36.13494687219511', '128.32424762632292', '36.13524336637723']",7.45,3,"[36.13509511928617, 128.32509860369152]",36.13509511928617,128.32509860369152
"['128.3593285005449', '36.114109854884994', '128.35880377403325', '36.11586188768202']",25.0,4,"[36.11498587128351, 128.35906613728906]",36.11498587128351,128.35906613728906
"['128.32424762632292', '36.13524336637723', '128.32367031020527', '36.135353089676414']",33.47,4,"[36.13529822802683, 128.3239589682641]",36.13529822802683,128.3239589682641
"['128.35777026303165', '36.119305049637184', '128.3575476852656', '36.11991518488525']",41.28,4,"[36.11961011726122, 128.35765897414862]",36.11961011726122,128.35765897414862
"['128.35798328411445', '36.118595390366394', '128.35777026303165', '36.119305049637184']",61.71,4,"[36.11895022000179, 128.35787677357305]",36.11895022000179,128.35787677357305
"['128.3259495810601', '36.13494687219511', '128.32424762632292', '36.13524336637723']",7.45,3,"[36.13509511928617, 128.32509860369152]",36.13509511928617,128.32509860369152
"['128.3593285005449', '36.114109854884994', '128.35880377403325', '36.11586188768202']",25.0,4,"[36.11498587128351, 128.35906613728906]",36.11498587128351,128.35906613728906
"['128.32424762632292', '36.13524336637723', '128.32367031020527', '36.135353089676414']",33.47,4,"[36.13529822802683, 128.3239589682641]",36.13529822802683,128.3239589682641
"['128.35777026303165', '36.119305049637184', '128.3575476852656', '36.11991518488525']",41.28,4,"[36.11961011726122, 128.35765897414862]",36.11961011726122,128.35765897414862
"['128.35798328411445', '36.118595390366394', '128.35777026303165', '36.119305049637184']",61.71,4,"[36.11895022000179, 128.35787677357305]",36.11895022000179,128.35787677357305
"['128.3259495810601', '36.13494687219511', '128.32424762632292', '36.13524336637723']",7.45,4,"[36.13509511928617, 128.32509860369152]",36.13509511928617,128.32509860369152
"['128.3593285005449', '36.114109854884994', '128.35880377403325', '36.11586188768202']",25.0,4,"[36.11498587128351, 128.35906613728906]",36.11498587128351,128.35906613728906
"['128.32424762632292', '36.13524336637723', '128.32367031020527', '36.135353089676414']",33.47,4,"[36.13529822802683, 128.3239589682641]",36.13529822802683,128.3239589682641
